2.52.0.0,2.55.255.255,262144,09/08/10,Partner Communications Ltd.
5.28.128.0,5.28.191.255,16384,08/05/12,Hot-Net internet services Ltd.
5.29.0.0,5.29.255.255,65536,08/05/12,Hot-Net internet services Ltd.
5.102.192.0,5.102.255.255,16384,27/06/12,XFone 018 Ltd
5.144.48.0,5.144.63.255,4096,11/07/12,Triple C Cloud Computing Ltd.
31.44.128.0,31.44.143.255,4096,01/03/11,Internet Rimon LTD
31.154.0.0,31.154.255.255,65536,03/03/11,Partner Communications Ltd.
31.168.0.0,31.168.255.255,65536,28/03/11,Bezeq International-Ltd
31.210.176.0,31.210.191.255,4096,04/05/11,XFone 018 Ltd
37.19.112.0,37.19.127.255,4096,22/12/11,Triple C Cloud Computing Ltd.
37.46.32.0,37.46.47.255,4096,11/01/12,XFone 018 Ltd
37.142.0.0,37.142.255.255,65536,29/02/12,Hot-Net internet services Ltd.
46.116.0.0,46.117.255.255,131072,12/05/10,Cellcom Fixed Line Communication L.P.
46.120.0.0,46.121.255.255,131072,17/05/10,Partner Communications Ltd.
46.210.0.0,46.210.255.255,65536,15/12/10,Cellcom Fixed Line Communication L.P.
46.228.144.0,46.228.159.255,4096,07/02/11,Cav Systems LTD
62.0.0.0,62.0.255.255,65536,28/04/97,Cellcom Fixed Line Communication L.P.
62.90.0.0,62.90.255.255,65536,01/08/00,Cellcom Fixed Line Communication L.P.
62.128.32.0,62.128.63.255,8192,15/05/00,Partner Communications Ltd.
62.219.0.0,62.219.255.255,65536,29/12/00,Bezeq International-Ltd
77.124.0.0,77.127.255.255,262144,07/11/06,Partner Communications Ltd.
79.176.0.0,79.183.255.255,524288,14/06/07,Bezeq International-Ltd
80.70.128.0,80.70.143.255,4096,01/06/01,Globes
80.74.96.0,80.74.111.255,4096,05/06/02,Internet Binat Ltd
80.74.112.0,80.74.127.255,4096,04/03/04,Internet Binat Ltd
80.178.0.0,80.179.255.255,131072,05/07/02,Partner Communications Ltd.
80.230.0.0,80.230.255.255,65536,12/03/02,Partner Communications Ltd.
80.244.160.0,80.244.175.255,4096,02/11/01,Interspace Ltd.
80.246.128.0,80.246.143.255,4096,08/11/01,HOT Mobile Ltd.
80.250.144.0,80.250.159.255,4096,14/11/05,Cellcom Fixed Line Communication L.P.
81.5.0.0,81.5.63.255,16384,17/05/02,Partner Communications Ltd.
81.218.0.0,81.218.255.255,65536,18/10/02,Bezeq International-Ltd
82.80.0.0,82.81.255.255,131072,12/05/03,Bezeq International-Ltd
82.102.128.0,82.102.191.255,16384,05/01/04,Partner Communications Ltd.
82.166.0.0,82.166.255.255,65536,06/08/03,Cellcom Fixed Line Communication L.P.
83.130.0.0,83.130.255.255,65536,14/01/04,Partner Communications Ltd.
84.94.0.0,84.95.255.255,131072,25/05/04,Partner Communications Ltd.
84.108.0.0,84.111.255.255,262144,10/05/04,Bezeq International-Ltd
84.228.0.0,84.229.255.255,131072,16/08/04,Partner Communications Ltd.
85.64.0.0,85.65.255.255,131072,23/09/04,Cellcom Fixed Line Communication L.P.
85.130.128.0,85.130.255.255,32768,24/11/04,Bezeq International-Ltd
85.250.0.0,85.250.255.255,65536,25/01/05,Cellcom Fixed Line Communication L.P.
87.68.0.0,87.71.255.255,262144,30/06/05,Partner Communications Ltd.
89.138.0.0,89.139.255.255,131072,08/02/06,Cellcom Fixed Line Communication L.P.
91.90.128.0,91.90.143.255,4096,10/08/06,
91.135.96.0,91.135.111.255,4096,15/11/06,Pelephone Communications Ltd.
91.143.224.0,91.143.239.255,4096,08/11/06,Internet Binat Ltd
92.61.224.0,92.61.239.255,4096,10/01/08,Internet Binat Ltd
92.240.0.0,92.240.31.255,8192,15/11/07,Xconnect Global Networks Limited
93.172.0.0,93.173.255.255,131072,05/05/08,Cellcom Fixed Line Communication L.P.
93.175.32.0,93.175.63.255,8192,25/09/08,
94.159.128.0,94.159.255.255,32768,04/09/08,Partner Communications Ltd.
94.188.128.0,94.188.255.255,32768,19/08/08,Internet Binat Ltd
94.230.80.0,94.230.95.255,4096,03/12/08,XFone 018 Ltd
95.35.0.0,95.35.255.255,65536,14/11/08,Cellcom Fixed Line Communication L.P.
95.86.64.0,95.86.127.255,16384,22/01/09,Internet Rimon LTD
95.142.16.0,95.142.31.255,4096,21/07/09,PurePeak Ltd.
95.175.32.0,95.175.63.255,8192,31/03/09,Interspace Ltd.
109.64.0.0,109.67.255.255,262144,10/08/09,Bezeq International-Ltd
109.160.128.0,109.160.255.255,32768,31/08/09,Partner Communications Ltd.
109.186.0.0,109.186.255.255,65536,08/10/09,Cellcom Fixed Line Communication L.P.
109.226.0.0,109.226.63.255,16384,21/01/10,Triple C Cloud Computing Ltd.
109.253.0.0,109.253.255.255,65536,08/12/09,Cellcom Fixed Line Communication L.P.
128.139.0.0,128.139.255.255,65536,05/04/04,
132.64.0.0,132.65.255.255,131072,01/01/84,
132.66.0.0,132.67.255.255,131072,01/01/84,
132.68.0.0,132.69.255.255,131072,03/01/91,
132.70.0.0,132.71.255.255,131072,01/01/84,
132.72.0.0,132.73.255.255,131072,01/01/84,
132.74.0.0,132.75.255.255,131072,01/01/84,
132.76.0.0,132.77.255.255,131072,01/01/84,
132.78.0.0,132.78.255.255,65536,01/01/84,
138.134.0.0,138.134.255.255,65536,23/05/90,
141.226.0.0,141.226.79.255,20480,05/08/90,
141.226.96.0,141.226.111.255,4096,05/08/90,
141.226.144.0,141.226.183.255,10240,05/08/90,
141.226.192.0,141.226.223.255,8192,05/08/90,Triple C Cloud Computing Ltd.
147.161.0.0,147.161.255.255,65536,01/05/91,
147.233.0.0,147.233.255.255,65536,25/06/01,
147.234.0.0,147.234.255.255,65536,01/01/84,
147.235.0.0,147.235.255.255,65536,01/09/93,
147.236.0.0,147.236.255.255,65536,01/01/84,
147.237.0.0,147.237.255.255,65536,16/02/10,
148.76.224.0,148.76.255.255,8192,14/05/15,Hot-Net internet services Ltd.
149.49.0.0,149.49.255.255,65536,10/08/09,
164.138.112.0,164.138.127.255,4096,19/03/12,Internet Rimon LTD
176.12.128.0,176.12.255.255,32768,18/05/11,Cellcom Fixed Line Communication L.P.
176.13.0.0,176.13.255.255,65536,18/05/11,Cellcom Fixed Line Communication L.P.
176.228.0.0,176.231.255.255,262144,01/12/11,Partner Communications Ltd.
188.120.128.0,188.120.159.255,8192,27/04/09,XFone 018 Ltd
192.114.24.0,192.114.47.255,6144,01/09/93,
192.114.64.0,192.114.79.255,4096,01/09/93,
192.114.96.0,192.114.111.255,4096,01/09/93,
192.114.128.0,192.114.143.255,4096,01/09/93,
192.114.144.0,192.114.159.255,4096,01/09/93,
192.114.160.0,192.114.191.255,8192,03/06/99,Partner Communications Ltd.
192.114.192.0,192.114.255.255,16384,01/09/93,
192.115.0.0,192.115.31.255,8192,01/09/93,
192.115.32.0,192.115.47.255,4096,01/09/93,
192.115.48.0,192.115.63.255,4096,01/09/93,
192.115.68.0,192.115.163.255,24576,01/09/93,
192.115.176.0,192.115.191.255,4096,01/09/93,
192.115.200.0,192.115.255.255,14336,01/09/93,
192.116.0.0,192.116.191.255,49152,01/09/93,
192.116.192.0,192.116.255.255,16384,03/06/99,Partner Communications Ltd.
192.117.0.0,192.117.79.255,20480,01/09/93,
192.117.80.0,192.117.95.255,4096,01/09/93,
192.117.96.0,192.117.127.255,8192,01/09/93,
192.117.128.0,192.117.191.255,16384,28/09/97,Partner Communications Ltd.
192.117.192.0,192.117.255.255,16384,01/09/93,
192.118.0.0,192.118.255.255,65536,01/09/93,
194.29.32.0,194.29.47.255,4096,17/06/02,
