2.60.0.0,2.63.255.255,262144,08/10/10,PJSC Rostelecom
2.92.0.0,2.95.255.255,262144,21/05/10,PJSC "Vimpelcom"
5.2.32.0,5.2.63.255,8192,27/04/12,UGMK-Telecom LLC
5.3.0.0,5.3.255.255,65536,27/04/12,JSC "ER-Telecom Holding"
5.8.0.0,5.8.15.255,4096,25/04/12,Petersburg Internet Network ltd.
5.8.48.0,5.8.63.255,4096,25/04/12,Petersburg Internet Network ltd.
5.8.80.0,5.8.95.255,4096,25/04/12,Petersburg Internet Network ltd.
5.8.160.0,5.8.175.255,4096,26/04/12,CJSC "Matrix Mobile"
5.8.192.0,5.8.223.255,8192,26/04/12,Closed Joint Stock Company TransTeleCom
5.8.224.0,5.8.239.255,4096,26/04/12,MTS PJSC
5.11.64.0,5.11.79.255,4096,02/05/12,TIS Dialog LLC
5.16.0.0,5.19.255.255,262144,27/04/12,JSC "ER-Telecom Holding"
5.28.16.0,5.28.31.255,4096,08/05/12,JSC AIST
5.35.0.0,5.35.127.255,32768,11/05/12,OOO Trivon Networks
5.35.128.0,5.35.159.255,8192,11/05/12,Limited Liability Company Irtelcom
5.42.0.0,5.42.127.255,32768,16/05/12,CJSC Kolomna-Sviaz TV
5.43.128.0,5.43.159.255,8192,21/05/12,Joint stock company "For"
5.44.0.0,5.44.15.255,4096,22/05/12,Closed Joint Stock Company Radiotelephone
5.44.48.0,5.44.63.255,4096,23/05/12,JSC "ER-Telecom Holding"
5.45.64.0,5.45.95.255,8192,24/05/12,
5.45.192.0,5.45.255.255,16384,25/05/12,YANDEX LLC
5.53.16.0,5.53.31.255,4096,29/05/12,Metroset Ltd.
5.77.0.0,5.77.31.255,8192,12/06/12,JSC "ER-Telecom Holding"
5.79.128.0,5.79.255.255,32768,13/06/12,Intersvyaz-2 JSC
5.100.64.0,5.100.127.255,16384,25/06/12,Vladivostokskaya Set LTD
5.101.32.0,5.101.47.255,4096,26/06/12,Petersburg Internet Network ltd.
5.101.80.0,5.101.95.255,4096,26/06/12,Petersburg Internet Network ltd.
5.101.208.0,5.101.223.255,4096,26/06/12,Petersburg Internet Network ltd.
5.101.224.0,5.101.255.255,8192,26/06/12,LLC "Real-net"
5.104.32.0,5.104.63.255,8192,28/06/12,Kompeatelecom Ltd.
5.128.0.0,5.131.255.255,262144,29/06/12,Novotelecom Ltd
5.136.0.0,5.143.255.255,524288,03/07/12,PJSC Rostelecom
5.144.64.0,5.144.79.255,4096,11/07/12,MTS PJSC
5.144.96.0,5.144.127.255,8192,11/07/12,MTS PJSC
5.145.192.0,5.145.255.255,16384,13/07/12,Smoltelecom Ltd
5.149.208.0,5.149.223.255,4096,17/07/12,Lancom Ltd.
5.158.96.0,5.158.127.255,8192,26/07/12,Pride Limited company
5.159.96.0,5.159.111.255,4096,27/07/12,"Krasnoyarsk network" Ltd.
5.164.0.0,5.167.255.255,262144,25/07/12,JSC "ER-Telecom Holding"
5.172.0.0,5.172.31.255,8192,30/07/12,INSYS LLC
5.175.96.0,5.175.127.255,8192,02/08/12,TVINGO Telecom Ltd.
5.187.64.0,5.187.95.255,8192,10/08/12,KVANT-TELEKOM Closed Joint Stock Company
5.188.48.0,5.188.63.255,4096,09/08/12,Petersburg Internet Network ltd.
5.188.208.0,5.188.223.255,4096,09/08/12,Petersburg Internet Network ltd.
5.189.0.0,5.189.127.255,32768,09/08/12,LLC "KomTehCentr"
5.189.224.0,5.189.239.255,4096,09/08/12,OOO "Network of data-centers "Selectel"
5.199.192.0,5.199.223.255,8192,28/08/12,Joint stock company "For"
5.200.32.0,5.200.63.255,8192,30/08/12,Enterprise Cloud Ltd.
5.206.0.0,5.206.127.255,32768,03/09/12,Intersvyaz-2 JSC
5.227.0.0,5.227.255.255,65536,07/09/12,MTS PJSC
5.228.0.0,5.228.255.255,65536,07/09/12,PJSC Rostelecom
5.249.192.0,5.249.223.255,8192,13/09/12,Limited liability company Kursktelecom
5.254.224.0,5.254.255.255,8192,14/09/12,Closed Joint Stock Company TransTeleCom
5.255.192.0,5.255.255.255,16384,14/09/12,YANDEX LLC
23.105.224.0,23.105.255.255,8192,24/07/13,United Network LLC
23.111.32.0,23.111.63.255,8192,24/07/13,United Network LLC
23.111.96.0,23.111.127.255,8192,24/07/13,United Network LLC
23.111.192.0,23.111.223.255,8192,24/07/13,United Network LLC
31.6.96.0,31.6.127.255,8192,11/04/11,Kompeatelecom Ltd.
31.7.224.0,31.7.239.255,4096,14/04/11,OOO "MediaSeti"
31.8.0.0,31.8.255.255,65536,12/04/11,PJSC "Bashinformsvyaz"
31.10.64.0,31.10.127.255,16384,14/04/11,JSC "AVIEL"
31.13.32.0,31.13.63.255,8192,18/04/11,OJSC Comcor
31.15.80.0,31.15.95.255,4096,20/04/11,MTS PJSC
31.23.0.0,31.23.255.255,65536,28/03/11,PJSC Rostelecom
31.28.0.0,31.28.31.255,8192,10/02/11,Filanco LLC
31.28.32.0,31.28.63.255,8192,21/02/11,JSC AIST
31.28.96.0,31.28.127.255,8192,25/02/11,INTERRA telecommunications group, Ltd.
31.28.192.0,31.28.223.255,8192,28/02/11,PJSC Rostelecom
31.28.224.0,31.28.255.255,8192,01/03/11,Lancom Ltd.
31.29.128.0,31.29.255.255,32768,09/03/11,MTS PJSC
31.31.192.0,31.31.207.255,4096,21/03/11,"Domain names registrar REG.RU", Ltd
31.40.32.0,31.40.63.255,8192,29/04/11,
31.40.64.0,31.40.95.255,8192,29/04/11,
31.40.112.0,31.40.127.255,4096,05/05/11,MTS PJSC
31.40.128.0,31.40.191.255,16384,06/04/11,
31.42.32.0,31.42.47.255,4096,11/03/11,
31.42.96.0,31.42.111.255,4096,25/03/11,
31.42.192.0,31.42.223.255,8192,23/02/11,
31.42.224.0,31.42.255.255,8192,23/02/11,
31.43.192.0,31.43.223.255,8192,01/03/11,
31.44.0.0,31.44.15.255,4096,22/02/11,Joint Stock Company "Tagnet"
31.44.48.0,31.44.63.255,4096,24/02/11,JSC "ER-Telecom Holding"
31.44.80.0,31.44.95.255,4096,24/02/11,JSC Mastertel
31.44.176.0,31.44.191.255,4096,04/03/11,Petersburg Internet Network ltd.
31.44.240.0,31.44.255.255,4096,09/03/11,Joint-stock company Orient-Telecom
31.47.128.0,31.47.159.255,8192,22/03/11,TVINGO Telecom Ltd.
31.47.160.0,31.47.191.255,8192,22/03/11,Closed Joint Stock Company TransTeleCom
31.128.32.0,31.128.63.255,8192,02/03/11,
31.128.128.0,31.128.159.255,8192,03/03/11,
