2.88.0.0,2.91.255.255,262144,17/05/10,Saudi Telecom Company JSC
5.41.0.0,5.41.255.255,65536,16/05/12,Saudi Telecom Company JSC
5.42.224.0,5.42.255.255,8192,18/05/12,Integrated Telecom Co. Ltd
5.82.0.0,5.82.255.255,65536,13/06/12,Bayanat Al-Oula For Network Services
5.108.0.0,5.111.255.255,262144,28/06/12,Etihad Etisalat, a joint stock company
5.132.192.0,5.132.255.255,16384,02/07/12,Integrated Telecom Co. Ltd
5.156.0.0,5.156.255.255,65536,19/07/12,Saudi Telecom Company JSC
5.163.0.0,5.163.255.255,65536,30/07/12,Saudi Telecom Company JSC
5.244.0.0,5.247.255.255,262144,11/09/12,Etihad Etisalat, a joint stock company
31.166.0.0,31.167.255.255,131072,01/03/11,Etihad Etisalat, a joint stock company
37.16.32.0,37.16.63.255,8192,16/12/11,Bayanat Al-Oula For Network Services
37.16.128.0,37.16.255.255,32768,16/12/11,Bayanat Al-Oula For Network Services
37.25.0.0,37.25.31.255,8192,23/12/11,Saudi Telecom Company JSC
37.42.0.0,37.43.255.255,131072,04/01/12,Etihad Etisalat, a joint stock company
37.56.0.0,37.56.255.255,65536,13/01/12,Saudi Telecom Company JSC
37.76.224.0,37.76.255.255,8192,01/02/12,Integrated Telecom Co. Ltd
37.99.128.0,37.99.191.255,16384,07/02/12,Etihad Atheeb Telecom Company
37.104.0.0,37.107.255.255,262144,02/02/12,Saudi Telecom Company JSC
37.121.0.0,37.121.255.255,65536,14/02/12,Etihad Etisalat, a joint stock company
37.124.0.0,37.127.255.255,262144,14/02/12,Etihad Etisalat, a joint stock company
37.141.0.0,37.141.255.255,65536,29/02/12,Bayanat Al-Oula For Network Services
37.216.0.0,37.217.255.255,131072,30/03/12,Etihad Etisalat, a joint stock company
37.224.0.0,37.224.255.255,65536,05/04/12,Saudi Telecom Company JSC
37.240.0.0,37.243.255.255,262144,16/04/12,Etihad Etisalat, a joint stock company
46.38.64.0,46.38.95.255,8192,24/11/10,Integrated Telecom Co. Ltd
46.44.64.0,46.44.127.255,16384,19/08/10,Bayanat Al-Oula For Network Services
46.52.0.0,46.52.127.255,32768,13/08/10,Etihad Etisalat, a joint stock company
46.143.128.0,46.143.191.255,16384,25/11/10,Integrated Telecom Co. Ltd
46.149.0.0,46.149.15.255,4096,06/12/10,Saudi Telecom Company JSC
46.152.0.0,46.153.255.255,131072,26/10/10,Etihad Etisalat, a joint stock company
46.184.0.0,46.184.127.255,32768,04/11/10,Etihad Atheeb Telecom Company
46.230.0.0,46.230.127.255,32768,04/02/11,Bayanat Al-Oula For Network Services
46.240.0.0,46.240.127.255,32768,16/12/10,Bayanat Al-Oula For Network Services
46.251.128.0,46.251.159.255,8192,04/02/11,Bayanat Al-Oula For Network Services
50.60.0.0,50.61.255.255,131072,25/01/11,Saudi Telecom Company JSC
50.119.0.0,50.119.255.255,65536,02/09/11,Saudi Telecom Company JSC
51.39.0.0,51.39.255.255,65536,01/09/93,
51.211.0.0,51.211.255.255,65536,01/09/93,Saudi Telecom Company JSC
51.218.0.0,51.218.255.255,65536,01/09/93,Saudi Telecom Company JSC
51.223.0.0,51.223.255.255,65536,01/09/93,Saudi Telecom Company JSC
51.235.0.0,51.235.255.255,65536,01/09/93,Saudi Telecom Company JSC
51.252.0.0,51.253.255.255,131072,01/09/93,Saudi Telecom Company JSC
