41.224.0.0,41.231.255.255,524288,12/12/06,
102.104.0.0,102.111.255.255,524288,17/08/18,
102.128.0.0,102.128.63.255,16384,21/12/18,
102.152.0.0,102.155.255.255,262144,23/02/18,
102.156.0.0,102.159.255.255,262144,02/03/18,
102.168.0.0,102.175.255.255,524288,07/08/17,
102.240.0.0,102.243.255.255,262144,22/05/17,
154.72.224.0,154.72.239.255,4096,29/01/14,
154.104.0.0,154.111.255.255,524288,18/07/14,
160.156.0.0,160.159.255.255,262144,16/01/15,
165.50.0.0,165.51.255.255,131072,27/10/14,
193.95.0.0,193.95.127.255,32768,02/04/01,
196.176.0.0,196.179.255.255,262144,10/11/15,
196.184.0.0,196.187.255.255,262144,22/09/15,
196.203.0.0,196.203.255.255,65536,26/02/04,
196.224.0.0,196.239.255.255,1048576,21/09/15,
197.0.0.0,197.31.255.255,2097152,03/05/10,
213.150.160.0,213.150.191.255,8192,02/04/01,

