41.75.160.0,41.75.175.255,4096,04/01/11,
41.75.176.0,41.75.191.255,4096,09/12/10,
41.84.192.0,41.84.223.255,8192,04/11/10,
41.138.208.0,41.138.223.255,4096,29/07/09,
41.202.224.0,41.202.255.255,8192,16/11/07,
41.210.128.0,41.210.191.255,16384,18/04/07,
41.220.0.0,41.220.15.255,4096,02/02/06,
41.220.208.0,41.220.223.255,4096,06/02/07,
41.221.80.0,41.221.95.255,4096,13/02/14,
102.34.0.0,102.34.255.255,65536,07/08/19,
102.80.0.0,102.87.255.255,524288,04/09/18,
129.205.0.0,129.205.31.255,8192,30/07/15,
137.63.128.0,137.63.255.255,32768,22/09/15,
154.0.128.0,154.0.143.255,4096,19/07/13,
154.72.192.0,154.72.223.255,8192,29/01/14,
154.224.0.0,154.231.255.255,524288,27/09/16,
155.255.0.0,155.255.255.255,65536,03/08/16,
160.242.128.0,160.242.191.255,16384,25/08/15,
196.0.0.0,196.0.255.255,65536,19/09/05,
196.43.128.0,196.43.191.255,16384,11/02/09,
196.200.208.0,196.200.223.255,4096,16/04/19,
197.157.0.0,197.157.63.255,16384,27/01/12,
197.221.128.0,197.221.159.255,8192,13/02/14,
197.239.0.0,197.239.63.255,16384,06/11/12,
212.88.96.0,212.88.127.255,8192,29/10/99,
216.104.192.0,216.104.207.255,4096,18/07/00,

